T-Series	음악	1.41억	/youtube/channel/UCq-Fj5jknLsUf-MWSy4_brA
PewDiePie	엔터테인먼트	1.05억	/youtube/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw
Cocomelon - Nursery Rhymes	교육	8420만	/youtube/channel/UCbCmjCuTUZos6Inko4u57UQ
SET India	엔터테인먼트	7360만	/youtube/channel/UCpEhnqL0y41EpW2TvWAHD7Q
5-Minute Crafts	노하우/스타일	6680만	/youtube/channel/UC295-Dw_tDNtZXFeAPAW6Aw
WWE	스포츠	6100만	/youtube/channel/UCJ5v_MCY6GNUBTO8-D3XoAg
Canal KondZilla	음악	5800만	/youtube/channel/UCffDXn7ycAzwL2LDlbyWOTw
Like Nastya	엔터테인먼트	5560만	/youtube/channel/UCJplp5SjeGSdVdwsfb9Q7lQ
Zee Music Company	음악	5550만	/youtube/channel/UCFFbwnve3yF62-tVXkTyHqg
✿ Kids Diana Show	엔터테인먼트동물	5490만	/youtube/channel/UCk8GzjMOrta8yxDcKfylJYw
Justin Bieber	음악	5450만	/youtube/channel/UCIwFjwMjI0y7PDBVEO9-bkQ
Dude Perfect	스포츠엔터테인먼트	5130만	/youtube/channel/UCRijo3ddMTht_IHyNSNXpNQ
Marshmello	게임음악	4570만	/youtube/channel/UCEdvpU2pFRCVqU6yIPyTpMQ
Zee TV	엔터테인먼트	4550만	/youtube/channel/UCppHT7SZKKvar4Oc9J4oljQ
Ed Sheeran	음악	4460만	/youtube/channel/UC0C-w0YjGpqDXGB8IHb662A
Badabun	엔터테인먼트뉴스/정치	4300만	/youtube/channel/UCYWOjHweP2V-8kGKmmAmQJQ
EminemMusic	음악	4290만	/youtube/channel/UCfM3zsQsOnfWNUppiycmBuw
Vlad and Niki	엔터테인먼트	4170만	/youtube/channel/UCvlE5gTbOvjiolFlEm-c_Ow
Ariana Grande	음악	4150만	/youtube/channel/UC9CoOnJkIBMdeijd9qYoT_g
HolaSoyGerman.	엔터테인먼트	4090만	/youtube/channel/UCZJ7m7EnCNodqnu5SAtg8eQ
JuegaGerman	엔터테인먼트게임	3980만	/youtube/channel/UCYiGq8XF7YQD00x7wAd62Zg
whinderssonnunes	코미디	3960만	/youtube/channel/UC3KQ5GWANYF8lChqjZpXsQw
Movieclips	영화/애니메이션	3940만	/youtube/channel/UC3gNmTGu-TTbFPpfSs5kNkg
Felipe Neto	엔터테인먼트	3820만	/youtube/channel/UCV306eHqgo0LvBf3Mh36AHg
Taylor Swift	음악	3810만	/youtube/channel/UCqECaJ8Gagnn7YCbPEzWH6g
Aaj Tak	뉴스/정치	3800만	/youtube/channel/UCt4t-jeY85JegMlZ-E5UWtA
elrubiusOMG	엔터테인먼트코미디	3780만	/youtube/channel/UCXazgXDIYyWH-yXLAkcrFxw
TheEllenShow	엔터테인먼트	3740만	/youtube/channel/UCp0hYYBW6IMayGgR-WeoCvQ
Katy Perry	음악엔터테인먼트	3720만	/youtube/channel/UCYvmuw-JtVrTZQ-7Y4kd63Q
Goldmines Telefilms	영화/애니메이션	3680만	/youtube/channel/UCyoXW-Dse7fURq30EWl_CUA
Big Hit Labels	음악	3670만	/youtube/channel/UC3IZKseVpdzPSBaWxBxundA
Shemaroo Filmi Gaane	음악	3660만	/youtube/channel/UCP6uH_XlsxrXwZQ4DlqbqPg
Fernanfloo	게임엔터테인먼트	3630만	/youtube/channel/UCV4xOVpbcV8SdueDCOxLXtQ
MrBeast	엔터테인먼트	3600만	/youtube/channel/UCX6OQ3DkcsbYNE6H8uQQuVA
ChuChu TV Nursery Rhymes & Kids Songs	교육	3600만	/youtube/channel/UCBnZ16ahKA2DZ_T5W0FPUXg
BLACKPINK	음악	3600만	/youtube/channel/UCOmHUn--16B90oW2L6FRR3A
BRIGHT SIDE	엔터테인먼트	3510만	/youtube/channel/UC4rlAVgAK0SGk-yTfe48Qpw
Você Sabia?	엔터테인먼트	3470만	/youtube/channel/UCj0O6W8yDuLg3iraAXKgCrQ
Wave Music	음악	3460만	/youtube/channel/UC22nIfOTM7KLIQuFGMKzQbg
Rihanna	엔터테인먼트	3450만	/youtube/channel/UCcgqSM4YEo5vVQpqwN-MaNw
Alan Walker	음악	3450만	/youtube/channel/UCJrOtniJ0-NWz37R30urifQ
Pinkfong! Kids' Songs & Stories	교육	3420만	/youtube/channel/UCcdwLMPsaU2ezNSJU1nFoBQ
Sony Music India	음악	3410만	/youtube/channel/UC56gTxNs4f9xZ7Pa2i5xNzg
El Reino Infantil	음악	3390만	/youtube/channel/UCK1i2UviaXLUNrZlAFpw_jA
JustinBieberVEVO	음악	3270만	/youtube/channel/UCHkj014U2CQ2Nv0UZeYpE_A
Luisito Comunica	코미디	3170만	/youtube/channel/UCECJDeK0MNapZbpaOzxrUPA
One Direction	음악	3140만	/youtube/channel/UCb2HGwORFBo94DmRx4oLzow
SAB TV	엔터테인먼트	3140만	/youtube/channel/UC6-F5tO8uklgE9Zy8IvbdFw
Get Movies	엔터테인먼트	3130만	/youtube/channel/UClZkHt2kNIgyrTTPnSQV3SA
